SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1363.00,1368.00,1350.00,1356.90,1359.90,1354.60,229,2193,2981288.00,,INE117A01022,13-Nov-17,,
500003,AEGIS LOGIS ,A ,Q,231.60,234.00,226.00,230.85,230.85,227.50,434,22500,5162453.00,,INE208C01025,13-Nov-17,,
500008,AMAR RAJA BA,A ,Q,763.95,799.00,754.00,787.05,789.00,751.20,5541,176022,138106353.00,,INE885A01032,13-Nov-17,,
500009,A.SARABHAI  ,ST,Q,10.02,10.50,10.01,10.01,10.01,10.53,74,31890,320025.00,,INE432A01017,13-Nov-17,,
500010,HDFC        ,A ,Q,1709.00,1725.00,1667.55,1671.10,1671.10,1707.75,3268,151721,254727722.00,,INE001A01036,13-Nov-17,,
500012,ANDHRA PETRO,ST,Q,56.90,57.10,54.00,56.15,56.15,54.40,539,189036,10620183.00,,INE714B01016,13-Nov-17,,
500013,ANSAL INFRAS,B ,Q,23.15,23.25,22.10,22.25,22.40,23.25,126,23476,535981.00,,INE436A01026,13-Nov-17,,
500014,APPLE FINANC,XT,Q,3.36,3.36,3.36,3.36,3.36,3.40,15,7750,26040.00,,INE096A01010,13-Nov-17,,
500020,BOM DYEING  ,A ,Q,205.90,207.00,197.00,198.50,198.50,205.60,2155,308943,62524613.00,,INE032A01023,13-Nov-17,,
500023,ASIANHOTNR  ,B ,Q,137.45,137.45,130.85,131.80,133.45,135.85,102,2538,337684.00,,INE363A01022,13-Nov-17,,
500024,ASSAMCO     ,B ,Q,4.85,4.93,4.73,4.84,4.84,4.82,120,70581,341258.00,,INE442A01024,13-Nov-17,,
500027,ATUL LTD.   ,A ,Q,2485.00,2497.00,2380.00,2429.60,2429.60,2476.20,149,1105,2718653.00,,INE100A01010,13-Nov-17,,
500028,ATV PROJECTS,XT,Q,9.80,10.00,9.55,9.60,9.60,9.90,35,6918,67309.00,,INE447A01015,13-Nov-17,,
500029,AUTOLITE(I) ,T ,Q,67.00,67.50,65.15,65.95,65.90,65.60,34,2994,198709.00,,INE448A01013,13-Nov-17,,
500031,BAJAJ ELECT.,A ,Q,406.00,423.95,401.15,404.25,404.25,407.25,1617,58866,24183400.00,,INE193E01025,13-Nov-17,,
500032,BAJAJHIND   ,B ,Q,15.00,15.23,14.73,14.89,14.89,14.89,1042,795509,11886956.00,,INE306A01021,13-Nov-17,,
500033,FORCE MOTR  ,B ,Q,3400.00,3414.00,3295.00,3318.20,3318.20,3403.60,5321,45205,150671010.00,,INE451A01017,13-Nov-17,,
500034,BAJFINANCE  ,A ,Q,1748.20,1758.90,1723.15,1730.40,1730.40,1747.50,1285,32241,55988202.00,,INE296A01024,13-Nov-17,,
500038,BALRAM.CHINI,A ,Q,161.10,163.70,158.25,159.15,159.15,163.05,820,141237,22573259.00,,INE119A01028,13-Nov-17,,
